;training;predicted;validation
2018-08-29 01:00:00;69.52674365146308;;
2018-08-29 02:00:00;70.62076841669767;;
2018-08-29 03:00:00;71.07822482437767;;
2018-08-29 04:00:00;71.24153576744337;;
2018-08-29 05:00:00;71.32912699304994;;
2018-08-29 06:00:00;72.07538750138137;;
2018-08-29 07:00:00;73.28346096691862;;
2018-08-29 08:00:00;73.84632892333941;;
2018-08-29 09:00:00;74.03537140812443;;
2018-08-29 10:00:00;74.18507982539248;;
2018-08-29 11:00:00;74.96680130011872;;74.96680130011872
2018-08-29 12:00:00;;75.53616854318457;75.86737890867245
2018-08-29 13:00:00;;76.13404846574421;76.31938637321662
2018-08-29 14:00:00;;76.75151780874775;77.02263546990312
2018-08-29 15:00:00;;77.36588623104979;77.93453177212987
2018-08-29 16:00:00;;77.96328074503788;78.55388776097246
2018-08-29 17:00:00;;78.55733426346438;79.33653032042332
2018-08-29 18:00:00;;79.18446963027876;79.95946314031863
2018-08-29 19:00:00;;79.87305204842058;80.2800276384157
2018-08-29 20:00:00;;80.61144065923895;80.87321956189858
2018-08-29 21:00:00;;81.34635141565552;81.70532264826063
2018-08-29 22:00:00;;82.01840159014768;82.03980492807514
2018-08-29 23:00:00;;82.60732067012736;82.97702979183406
2018-08-30 00:00:00;;83.14776352416439;83.50824997725852
2018-08-30 01:00:00;;83.70056874664921;84.25010890712184
2018-08-30 02:00:00;;84.30298681090083;
2018-08-30 03:00:00;;84.93966224208022;
2018-08-30 04:00:00;;85.55741577569884;
2018-08-30 05:00:00;;86.10874614199135;
2018-08-30 06:00:00;;86.58627912544827;
2018-08-30 07:00:00;;87.02226593767259;
2018-08-30 08:00:00;;87.46006578422575;
2018-08-30 09:00:00;;87.9266259945195;
2018-08-30 10:00:00;;88.42756005896457;
2018-08-30 11:00:00;;88.9605678916133;
2018-08-30 12:00:00;;89.52632852906818;
2018-08-30 13:00:00;;90.12420845162987;
2018-08-30 14:00:00;;90.74167779463183;
2018-08-30 15:00:00;;91.35604621693598;
2018-08-30 16:00:00;;91.95344073092373;
2018-08-30 17:00:00;;92.54749424935036;
2018-08-30 18:00:00;;93.17462961616582;
2018-08-30 19:00:00;;93.8632120343067;
2018-08-30 20:00:00;;94.60160064511928;
2018-08-30 21:00:00;;95.33651140153937;
2018-08-30 22:00:00;;96.0085615760349;
