"1k-blocks","filesystem","date","hour","mean_usage"
20268880,"/dev/sdb",2018-08-17 17:00:00,17,27
20268880,"/dev/sdb",2018-08-17 18:00:00,18,27.691599218532
20268880,"/dev/sdb",2018-08-17 19:00:00,19,28
20268880,"/dev/sdb",2018-08-17 20:00:00,20,28.1029863243092
20268880,"/dev/sdb",2018-08-17 21:00:00,21,29
20268880,"/dev/sdb",2018-08-17 22:00:00,22,10.3653363103545
20268880,"/dev/sdb",2018-08-17 23:00:00,23,10.1805749372035
20268880,"/dev/sdb",2018-08-18 00:00:00,0,11
20268880,"/dev/sdb",2018-08-18 01:00:00,1,11
20268880,"/dev/sdb",2018-08-18 02:00:00,2,11.5916829472509
20268880,"/dev/sdb",2018-08-18 03:00:00,3,12
20268880,"/dev/sdb",2018-08-18 04:00:00,4,12.0030709101061
20268880,"/dev/sdb",2018-08-18 05:00:00,5,13
20268880,"/dev/sdb",2018-08-18 06:00:00,6,13
20268880,"/dev/sdb",2018-08-18 07:00:00,7,13.4144571588055
20268880,"/dev/sdb",2018-08-18 08:00:00,8,14
20268880,"/dev/sdb",2018-08-18 09:00:00,9,14
20268880,"/dev/sdb",2018-08-18 10:00:00,10,14.8258442645828
20268880,"/dev/sdb",2018-08-18 11:00:00,11,15
20268880,"/dev/sdb",2018-08-18 12:00:00,12,15.2370184254606
20268880,"/dev/sdb",2018-08-18 13:00:00,13,16
20268880,"/dev/sdb",2018-08-18 14:00:00,14,16
20268880,"/dev/sdb",2018-08-18 15:00:00,15,16.6483393804075
20268880,"/dev/sdb",2018-08-18 16:00:00,16,17
20268880,"/dev/sdb",2018-08-18 17:00:00,17,17
20268880,"/dev/sdb",2018-08-22 19:00:00,19,44.4305369127517
20268880,"/dev/sdb",2018-08-22 20:00:00,20,45.5441300084057
20268880,"/dev/sdb",2018-08-22 21:00:00,21,48.5482874789444
20268880,"/dev/sdb",2018-08-22 22:00:00,22,51.26113757355
20268880,"/dev/sdb",2018-08-22 23:00:00,23,54.6664795058956
20268880,"/dev/sdb",2018-08-23 00:00:00,0,57.8892626857303
20268880,"/dev/sdb",2018-08-23 01:00:00,1,61.7853535353535
20268880,"/dev/sdb",2018-08-23 02:00:00,2,66.3915848527349
20268880,"/dev/sdb",2018-08-23 03:00:00,3,72.4264911789415
20268880,"/dev/sdb",2018-08-23 04:00:00,4,72.4411434977578
20268880,"/dev/sdb",2018-08-23 05:00:00,5,71.1240916713248
20268880,"/dev/sdb",2018-08-23 06:00:00,6,69.322445561139
20268880,"/dev/sdb",2018-08-23 07:00:00,7,70.7183924085961
20268880,"/dev/sdb",2018-08-23 08:00:00,8,71.8327749860413
20268880,"/dev/sdb",2018-08-23 09:00:00,9,72
20268880,"/dev/sdb",2018-08-23 10:00:00,10,72.536571747627
20268880,"/dev/sdb",2018-08-23 11:00:00,11,73
20268880,"/dev/sdb",2018-08-23 12:00:00,12,73.000558347292
20268880,"/dev/sdb",2018-08-23 13:00:00,13,73.9475153545505
20268880,"/dev/sdb",2018-08-23 14:00:00,14,74
20268880,"/dev/sdb",2018-08-23 15:00:00,15,74.3612506979341
20268880,"/dev/sdb",2018-08-23 16:00:00,16,74.286990508096
20268880,"/dev/sdb",2018-08-23 17:00:00,17,73.7716996929947
20268880,"/dev/sdb",2018-08-23 18:00:00,18,74
20268880,"/dev/sdb",2018-08-23 19:00:00,19,74.1842546063652
20268880,"/dev/sdb",2018-08-23 20:00:00,20,74.9695785654479
20268880,"/dev/sdb",2018-08-23 21:00:00,21,72.0289505428227
20268880,"/dev/sdb",2018-08-29 13:00:00,13,25.0750474984167
20268880,"/dev/sdb",2018-08-29 14:00:00,14,26
20268880,"/dev/sdb",2018-08-29 15:00:00,15,26
20268880,"/dev/sdb",2018-08-29 16:00:00,16,26.3761851645287
20268880,"/dev/sdb",2018-08-29 17:00:00,17,27
20268880,"/dev/sdb",2018-08-29 18:00:00,18,27
20268880,"/dev/sdb",2018-08-29 19:00:00,19,27.7875069715561
20268880,"/dev/sdb",2018-08-29 20:00:00,20,29.7386331938633
20268880,"/dev/sdb",2018-08-29 21:00:00,21,43.8119394618834
20268880,"/dev/sdb",2018-08-29 22:00:00,22,44.7289377289377
20268880,"/dev/sdb",2018-08-29 23:00:00,23,47.645342312009
20268880,"/dev/sdb",2018-08-30 00:00:00,0,52.4081287044877
20268880,"/dev/sdb",2018-08-30 01:00:00,1,54.3513892786977
20268880,"/dev/sdb",2018-08-30 02:00:00,2,55.9714366515837
20268880,"/dev/sdb",2018-08-30 03:00:00,3,56.4922687658139
20268880,"/dev/sdb",2018-08-30 04:00:00,4,59.7169918009613
20268880,"/dev/sdb",2018-08-30 05:00:00,5,65.3908758096311
20268880,"/dev/sdb",2018-08-30 06:00:00,6,70.1458274796291
20268880,"/dev/sdb",2018-08-30 07:00:00,7,71.513468013468
20268880,"/dev/sdb",2018-08-30 08:00:00,8,74.5008389261745
20268880,"/dev/sdb",2018-08-30 09:00:00,9,77.1031590718479
20268880,"/dev/sdb",2018-08-30 10:00:00,10,78.205701509223
20268880,"/dev/sdb",2018-08-30 11:00:00,11,67.3624772313297
20268880,"/dev/sdb",2018-08-30 12:00:00,12,72.0047459519821
20268880,"/dev/sdb",2018-08-30 13:00:00,13,64.0253693894619
20268880,"/dev/sdb",2018-08-30 14:00:00,14,64
20268880,"/dev/sdb",2018-08-30 15:00:00,15,64.4339464882943
20268880,"/dev/sdb",2018-08-30 16:00:00,16,65
20268880,"/dev/sdb",2018-08-30 17:00:00,17,65
20268880,"/dev/sdb",2018-08-30 18:00:00,18,65.9278149386845
20268880,"/dev/sdb",2018-08-30 19:00:00,19,66
20268880,"/dev/sdb",2018-08-30 20:00:00,20,66.3387231669919
20268880,"/dev/sdb",2018-08-30 21:00:00,21,67
20268880,"/dev/sdb",2018-08-30 22:00:00,22,54.8636743797045
20268880,"/dev/sdb",2018-08-30 23:00:00,23,54.3705045999442
20268880,"/dev/sdb",2018-08-31 00:00:00,0,53
20268880,"/dev/sdb",2018-08-31 01:00:00,1,53.9947030945079
20268880,"/dev/sdb",2018-08-31 02:00:00,2,54
20268880,"/dev/sdb",2018-08-31 03:00:00,3,53.9091162531363
20268880,"/dev/sdb",2018-08-31 04:00:00,4,52
20268880,"/dev/sdb",2018-08-31 05:00:00,5,52.1494284917759
20268880,"/dev/sdb",2018-08-31 06:00:00,6,53
20268880,"/dev/sdb",2018-08-31 07:00:00,7,53
20268880,"/dev/sdb",2018-08-31 08:00:00,8,51.429328129356
